handle,tweet
realDonaldTrump,"The polls show that I picked up many Jeb Bush supporters. That is how I got to 46%. When others drop out, I will pick up more.  Sad but true"
HillaryClinton,GOP just recessed House without vote to stop suspected terrorists from getting deadly weapons or universal background checks. <hashtag>NoBillNoBreak
HillaryClinton,"Just a few hours left to vote in the NY primary. Confirm your polling place, then head over: <url>"
realDonaldTrump,"Thank you, Arizona! <hashtag>Trump2016
<hashtag>WesternTuesday <hashtag>TrumpTrain <url>"
realDonaldTrump,"Join me in Oklahoma tomorrow night!
<hashtag>MakeYoutubeGreatAgain <hashtag>Trump2016
<url>"
HillaryClinton,Meet one of our PA delegates who will help nominate  <mention> HillaryClinton today at <hashtag>DemConvention:  <mention> MalcolmKenyatta <url>
realDonaldTrump,""" <mention> stanColtrane: Turns out  <mention> glennbeck was wrong.  <mention> realDonaldTrump had nothing to do with it <url>"""
HillaryClinton,We're not going to round up millions of immigrants and deport them—no matter how many times Trump says he wants to. <url>
HillaryClinton,Why  <mention> HillaryClinton is the best choice to lead the US economy (via  <mention> AndreaJung9) <url>
HillaryClinton,"I wouldn't tolerate anyone talking to my daughter like that, and she wouldn't either. <url>"
HillaryClinton,"You inspire me too,  <mention> ChrisMurphyCT. Let's all demand action on gun violence prevention: <url>"
HillaryClinton,"""I completely reject anyone, including my opponent, who calls the American military a 'disaster.'"" —Hillary to the  <mention> AmericanLegion"
HillaryClinton,"Thank you, Connecticut. <url>"
realDonaldTrump,"I hear the Rickets family, who own the Chicago Cubs, are secretly spending $'s against me. They better be careful, they have a lot to hide!"
realDonaldTrump,Four more years of weakness with a Crooked Hillary Administration is not acceptable. Look what has happened to the world with O &amp; Hillary!
realDonaldTrump,"There is great unity in my campaign, perhaps greater than ever before. I want to thank everyone for your tremendous support. Beat Crooked H!"
realDonaldTrump,"Thank you  <mention> billoreilly &amp;  <mention> KarlRove. Ted Cruz should be immediately disqualified in Iowa, with each candidate moving up one notch."
realDonaldTrump,"Thank you to everyone for all of the nice comments, by Twitter, pundits and otherwise for my speech last night."
realDonaldTrump,"Pocahontas wanted V.P. slot so badly but wasn't chosen because she has done nothing in the Senate. Also, Crooked Hillary hates her!"
realDonaldTrump,""" <mention> Enlighten2881:  <mention> ukcatwoman52  <mention> ericnlin  <mention> AC360 How come Rubio&amp;Cruz are going to turn America around but did nothing in the Senate for USA?"""
HillaryClinton,"Hillary’s set to take the debate stage at 9pm ET.

Here's where you can watch: <url>"
realDonaldTrump,"We grieve for the officers killed in Baton Rouge today. How many law enforcement and people have to...
<url>"
realDonaldTrump,"I am self funding my campaign &amp; don't owe anybody anything! I only owe it to the American people! <hashtag>Trump2016
Watch: <url>"
HillaryClinton,"""When barriers for women fall, the world becomes a better place for everyone."" — <mention> lenadunham <url>"
realDonaldTrump,I don’t cheat at golf but  <mention> SamuelLJackson cheats—with his game he has no choice—and stop doing commercials!
realDonaldTrump,The failing  <mention> WSJ Wall Street Journal should fire both its pollster and its Editorial Board. Seldom has a paper been so wrong.Totally biased!
HillaryClinton,"""Every day, Donald Trump proves that he’s not in this for the American people. He’s in it for himself."" —Hillary <url>"
HillaryClinton,"Cheryl lost her husband in Iraq. Then Trump's company targeted her and scammed her out of $35,000. <url>"
realDonaldTrump,. <mention> drmoore  Russell Moore is truly a terrible representative of Evangelicals and all of the good they stand for. A nasty guy with no heart!
realDonaldTrump,""" <mention> ChatteringTeef:  <mention> BornToBeGOP  <mention> realDonaldTrump  <mention> MittRomney hates to see Trump's success when he was so pathetic"
realDonaldTrump,"LETS GO AMERICA! Time to take back
our country, and <hashtag>MakeAmericaGreatAgain
Watch video &amp; go
<hashtag>VoteTrump! <url>"
HillaryClinton,We made this when we thought Newt might be Trump’s VP pick. He wasn’t. Here you go anyway! <hashtag>RNCinCLE <url>
HillaryClinton,"""Voters can count on her to bring that same passion for getting the job done to the White House."" <url>"
realDonaldTrump,"I love watching these poor, pathetic people (pundits) on television working so hard and so seriously to try and figure me out. They can't!"
realDonaldTrump,"The late, great, William F. Buckley would be ashamed of what had happened to his prize, the dying National Review!"
realDonaldTrump,This was sent out from Ted Cruz- as Iowans arrived at their caucus sites to vote. <hashtag>CruzFraud <url>
realDonaldTrump,I will be doing a Town Hall tonight at 10:00 P.M. on  <mention> seanhannity -  <mention> FoxNews
HillaryClinton,"Congrats on bringing home the gold and silver, Simone and Aly. We’re all so proud of you! -H <url>"
HillaryClinton,"You never know what you'll see at a Hillary rally.
<url>"
HillaryClinton,Literally. <hashtag>RNCinCLE <url>
HillaryClinton,"""Trump, the self-proclaimed tough negotiator, not only choked but openly lied about choking."" <url>"
HillaryClinton,"By supporting efforts to move to 100% clean energy,  <mention> HillaryClinton again showed she's the climate leader we need. <url>"
HillaryClinton,Making the wrong choice on climate change would be a disaster for our kids and grandkids. <url>
realDonaldTrump,"Little Marco Rubio treated America's ICE officers ""like absolute trash"" in order to pass Obama's amnesty. <url>"
realDonaldTrump,"I heard that  <mention> Morning_Joe was very nice on Friday but that little Donny D, a big failure in TV (&amp; someone I helped), was nasty. Irrelevant!"
HillaryClinton,"Donald Trump says he wants to ""make America great again.""

Well, he could start by actually making things in America."
realDonaldTrump,<hashtag>MakeAmericaGreatAgain!  <url>
realDonaldTrump,"<hashtag>VoteTrumpKS <hashtag>Trump2016
March 5, 2016 | Wichita, Kansas:
<url>"
HillaryClinton,Donald Trump has spent his whole career stiffing small businesses. <url>
HillaryClinton,"""Hillary Clinton is the better candidate to take on Trump"" — <mention> latimes <url>"
realDonaldTrump,""" <mention> JoeNBC: From Canada to Goldman Sachs to the kitchen sink, Trump has picked Cruz apart for 2 weeks. <url>"""
realDonaldTrump,"Trump locks down Delaware GOP delegates. <hashtag>Trump2016 <hashtag>MAGA
<url>"
HillaryClinton,"Trump empezó su campaña diciendo que los mexicanos son ""violadores"" y traen “drogas” y “crimen”.

No se ha detenido. <url>"
HillaryClinton,We need to act on Zika—fast. Add your name and tell Congress: approve emergency funding now to keep families safe. <url>
HillaryClinton,"When Donald Trump wins, you lose. <url>"
HillaryClinton,Our veterans and their families deserve a president who doesn't disrespect and disparage their sacrifices. <url>
realDonaldTrump,Will be on  <mention> foxandfriends at 7:02 A.M.  Enjoy.
HillaryClinton,"""Last week...Trump spoke for more than an hour...But other than talking about building a stupid wall…did you hear any actual ideas?"" –Warren"
realDonaldTrump,"So many in the African-American community are doing so badly, poverty and crime way up, employment and jobs way down: I will fix it, promise"
HillaryClinton,"""He’s giving more away to the 120,000 richest...families than he would to 120 million hardworking people."" —Hillary on Trump's tax plan"
realDonaldTrump,"Under the leadership of Obama &amp; Clinton, Americans have experienced more attacks at home than victories abroad. Time to change the playbook!"
HillaryClinton,"To every little girl who dreams big: Yes, you can be anything you want—even president. Tonight is for you. -H <url>"
realDonaldTrump,"LOUISIANA GENERAL ELECTION
Donald Trump vs. Hillary Clinton
<hashtag>MakeAmericaGreatAgain <hashtag>Trump2016 <url>"
HillaryClinton,"Under Trump's child care plan, hardworking families that can’t afford child care in the first place would get little to no real help."
HillaryClinton,America’s network of allies is part of what makes us exceptional. And our allies deliver for us every day.
HillaryClinton,"Are you a Republican who thinks  <mention> realDonaldTrump should not become president?

Tell us why: <url>"
HillaryClinton,"“As of tomorrow, we have 100 days to make our case to America.

So what better place to kick off this campaign than where it all started?"""
HillaryClinton,"""Trump is not only unqualified for the job, but he may well pose a threat to our national security."" —Michael Morell <url>"
HillaryClinton,Just a few hours until polls close in New York. Get the latest from <hashtag>PrimaryDay on our live blog → <url>
HillaryClinton,History. <url>
HillaryClinton,Op-ed by Hillary Clinton: Child care now costs more than rent. Here’s how to fix this crisis. <url>
realDonaldTrump,"Cruz came to Mississippi, there was nobody there, he left the state. I had a rally in Madison, MS with 10,000!
Thank you!"
HillaryClinton,"“In my first 100 days as president, we will make the biggest investment in new, good-paying jobs since World War II.” —Hillary"
realDonaldTrump,""" <mention> CLewandowski_: Massive crowd in Pensacola, Florida! Unbelievable! THANK YOU! <hashtag>VoteTrump <url>"""
realDonaldTrump,"While Bernie has totally given up on his fight for the people, we welcome all voters who want a better future for our workers."
HillaryClinton,50 days to go. Don't miss Hillary live from  <mention> TempleUniv: <url>
HillaryClinton,"""He sure doesn’t speak for me, because I know we are stronger together, and that’s what we’re going to be."" —Hillary on Trump"
realDonaldTrump,Is it the same Kaine that took hundreds of thousands of dollars in gifts while Governor of Virginia and didn't get indicted while Bob M did?
realDonaldTrump,"Thank you Mahoning County, Ohio! See you soon! <hashtag>MakeAmericaSafeAgain
<url>"
realDonaldTrump,"I think that both candidates, Crooked Hillary and myself, should release detailed medical records. I have no problem in doing so! Hillary?"
realDonaldTrump,"Why does  <mention> Greta have a fired Bushy like dummy, John Sununu on- spewing false info? I will beat Hillary by a lot, she wants no part of Trump."
HillaryClinton,"While the Clinton Foundation receives high marks, Trump's is fined for a pay-to-play scheme <url>"
HillaryClinton,Here's why Donald Trump might be refusing to release his tax returns: <url>
HillaryClinton,"Trump's trickle-down economic plan: big giveaways for those at the top at the expense of everyone else.
<url>"
realDonaldTrump,"Thank you Brian France, Bill Elliott,  <mention> chaseelliott,  <mention> DavidRagan, &amp;  <mention> RyanJNewman! <hashtag>NASCAR <hashtag>Trump2016 <hashtag>VoteTrump
<url>"
realDonaldTrump,"Thank you Arizona! See you soon!
<hashtag>MakeAmericaGreatAgain <url>"
realDonaldTrump,I am self-funding my campaign and am therefore not controlled by the lobbyists and special interests like lightweight Rubio or Ted Cruz!
realDonaldTrump,Median household income is down for the middle class since Obama took office. It will only go further down under Clinton.
realDonaldTrump,""" <mention> MJP1370:  <mention> realDonaldTrump Cruz talks about Hillary all the time because he knows he can't beat you ! Trump will win Texas !"""
HillaryClinton,Yikes. <url>
realDonaldTrump,". <mention> oreillyfactor  The people of Iowa love the fact that I stuck up for my rights, as I will do for the U.S. Also got $6,000,000 for our VETS!"
realDonaldTrump,"I have a judge in the Trump University civil case, Gonzalo Curiel (San Diego), who is very unfair. An Obama pick. Totally biased-hates Trump"
HillaryClinton,"Your  <mention> GOP nominee for president has some thoughts on graphic design.
<url>"
HillaryClinton,"Americans don’t say: “I alone can fix it.”

We say: “Ok, how are we going to fix this together?”"
HillaryClinton,"44 years since <hashtag>TitleIX passed, truer than ever: All students deserve equal opportunity, no matter their gender. <url>"
realDonaldTrump,Crooked Hillary Clinton is unfit to serve as President of the U.S. Her temperament is weak and her opponents are strong. BAD JUDGEMENT!
realDonaldTrump,I will be live tweeting my interview with  <mention> megynkelly on the Fox Network tonight at 8! Enjoy! <url>
HillaryClinton,"In 1970, Diane Crump rode her way into history at the <hashtag>KentuckyDerby, becoming the first woman to compete. <url>"
realDonaldTrump,. <mention> thehill  Your story about me &amp; the carbon tax is absolutely incorrect—it is just the opposite. I will not support or endorse a carbon tax!
HillaryClinton,"16. You've mentioned ~120 foreign deals, including in countries with national security implications. Where and with whom are you working?"
HillaryClinton,Trump said the judge presiding over a lawsuit against Trump U. should be disqualified from his job because of his “Mexican heritage.”
HillaryClinton,"""There has never been any man or woman more qualified for this office than Hillary Clinton. That's the truth."" — <mention> POTUS"
HillaryClinton,"You're wrong,  <mention> realDonaldTrump. We can uphold Second Amendment rights while preventing senseless gun violence. <url>"
HillaryClinton,"Donald Trump may think America is in decline, but he’s wrong.

America’s best days are still ahead of us."
HillaryClinton,Proud of my friend  <mention> GovernorVA for continuing to break down barriers to voting. -H <url>
HillaryClinton,". <mention> maddow: ""She's not caricaturing Donald Trump...she's just quoting him directly, and that's deadly.""
<url>"
realDonaldTrump,"2/2  How many of our presidents, even our great presidents, would have handled the antics that went on in that auditorium as well as he did?"
HillaryClinton,"Women deserve the same rights as men in every aspect of our economy and our society—at home and around the world.
<url>"
realDonaldTrump,""" <mention> gerriweth:  <mention> megynkelly  <mention> realDonaldTrump Made me feel good to hear you both so gracious. Great job"""
HillaryClinton,We are not going to let Donald Trump bankrupt America the way he bankrupted his casinos.
HillaryClinton,"At the Paris 1900 games, golfer Margaret Abbott became the first American woman to win an Olympic gold medal. <url>"
HillaryClinton,Happy National Dog Day! <url>
realDonaldTrump,United States looks more and more like a paper tiger. Won't be that way if I win!
HillaryClinton,"Trump dijo que el terrorista nació “un afgano” y prohibirá la entrada de musulmanes—pero el terrorista nació en Queens, NY igual que Trump."
realDonaldTrump,"Bernie Sanders has been treated terribly by the Democrats—both with delegates &amp; otherwise. He should show them, &amp; run as an Independent."
realDonaldTrump,Thoughts and prayers are with everyone in West Virginia- dealing with the devastating floods. <hashtag>ImWithYou
HillaryClinton,"Yesterday, Trump spoke about the terrorist attack in Orlando.

Watch live as Hillary responds: <url>"
HillaryClinton,"For too many families, paychecks aren't stretching as far as they used to. Let's change that. <url>"
realDonaldTrump,"Taking a helicopter to New Hampshire, boarding now. Amazing activity planned. New UMASS poll, very nice! <url>"
realDonaldTrump,"A message from Donald J. Trump to NEW YORK!
  <url>"
realDonaldTrump,""" <mention> KurtSchlichter: My pal  <mention> DavidWohl was just on Megan Kelly's show! He digs Trump.  Thank you David, you were great!"
HillaryClinton,"Every child should be able to live up to their God-given potential, no matter where they come from, what they look like, or who they love."
HillaryClinton,". <mention> SenWarren to  <mention> Maddow: Donald Trump cannot be the one who leads the United States of America.
<url>"
HillaryClinton,"""Trump says he wants to run the nation like he’s run his business.

God help us!"" — <mention> MikeBloomberg"
realDonaldTrump,"My son,  <mention> EricTrump will be interviewed by  <mention> SeanHannity tonight at 10pm on  <mention> FoxNews. Enjoy!"
HillaryClinton,"So how exactly did Donald Trump build his own bank account?

On the backs of American taxpayers: <url>"
HillaryClinton,"We’ve got to build an economy that welcomes people with disabilities, values their work, rewards them fairly, and treats them with respect."
realDonaldTrump,Jeb Bush is desperate - strongly in favor of <hashtag>CommonCore and very weak on illegal immigration.
realDonaldTrump,Thank you   <mention> kayleighmcenany for your nice words - great knowledge and style! We are doing really well in South Carolina.  <mention> CNN  <mention> donlemon
realDonaldTrump,"Thank you Jason Greenblatt  <mention> JasonDovEsq ""For Our Children: Let's Elect Donald Trump""  <url>"
realDonaldTrump,"Hillary Clinton didn't go to Louisiana, and now she didn't go to Mexico. She doesn't have the drive or stamina to MAKE AMERICA GREAT AGAIN!"
HillaryClinton,"“On November 8, you will decide whether we have a president who believes in science and will fight climate change—or not.” — <mention> FLOTUS"
realDonaldTrump,"I am making a big speech the night of the  <mention> FoxNews debate, but I wish everyone well. Yesterday was a big day for me with 5 wins!"
HillaryClinton,"Farmers and ranchers are central to our economy, energy &amp; food security. Our plan to help: <url>"
realDonaldTrump,AMERICA FIRST!
realDonaldTrump,"Marco Rubio lost big last night. I even beat him in Virginia, where he spent so much time and money. Now his bosses are desperate and angry!"
realDonaldTrump,"I will be interviewed by  <mention> kimguilfoyle
at 7pm on  <mention> FoxNews. <hashtag>Enjoy!"
HillaryClinton,"We asked a dozen people how they feel about a Donald Trump presidency.

They were…honest. <url>"
HillaryClinton,"June is Nat'l Caribbean-American Heritage Month, recognizing the richness of <hashtag>Caribbean culture &amp; strong connections that mend us together."
HillaryClinton,"""Speaking is difficult for me. But come January, I want to say these two words: Madam President.” — <mention> GabbyGiffords <url>"
realDonaldTrump,"THANK YOU to everyone in Little Rock, Arkansas tonight! A record crowd of 12K. <hashtag>Trump2016
<url>"
HillaryClinton,"""[ <mention> realDonaldTrump's] businesses were failing long before the rest of the town was struggling...his bad decisions hurt the whole city."""
HillaryClinton,WATCH: Damning video undermines Trump momentum after accepting nomination → <url>
realDonaldTrump,"I hear  <mention> NBCNews /  <mention> WSJ came out with another one of their phony polls. While I am leading, they are totally discredited after last S.C. poll"
HillaryClinton,"Because climate change has one major impact that, for Trump, is awkwardly personal... <url>"
HillaryClinton,. <mention> HillaryClinton is a champion for LGBT equality. That's why <hashtag>ImWithHer. 💁  Text PRIDE to 47246 if you are too! 🌈 <url>
realDonaldTrump,<hashtag>CrookedHillary Job Application <url>
realDonaldTrump,This shows what a complete &amp; total liar Ted Cruz is- he said he wouldn't have nominated John Roberts. Really? <url>
realDonaldTrump,""" <mention> Veteran4Trump: Vets For A Strong America Endorses Donald Trump for president; ""We've Endorsed Him, We Believe In Him"" <hashtag>Trump2016"
realDonaldTrump,Thank you Alex!  <url>
realDonaldTrump,"Thank you Jacksonville, Florida!
<hashtag>MakeAmericaGreatAgain
<url>"
realDonaldTrump,"The failing  <mention> nytimes wrote a story about my management style &amp; that I don't have many people. I have 73, Hillary has 800- &amp; I'm beating her."
realDonaldTrump,I am truly enjoying myself while running for president. The people of our country are amazing - great numbers on November 8th!
HillaryClinton,The actions of Trump University employees to prey on the poor and naive are just completely repulsive. <url>
realDonaldTrump,Crooked Hillary wants to get rid of all guns and yet she is surrounded by bodyguards who are fully armed. No more guns to protect Hillary!
HillaryClinton,"""It’s great to be back on the campaign trail.” —Hillary in North Carolina. Watch live: <url>"
realDonaldTrump,"Join me in Roanoke, Virginia on Saturday evening at 6pm! <hashtag>MAGA
<url>"
HillaryClinton,We can’t let Trump’s “manifest unfitness for office” become normal. We need to hold him accountable. <url>
realDonaldTrump,"So the highly overrated anchor,  <mention> megynkelly, is allowed to constantly say bad things about me on her show, but I can't fight back? Wrong!"
realDonaldTrump,"Great rally in New Mexico, amazing crowd! Now in L.A. Big rally in Anaheim."
HillaryClinton,Let's mark the start of Hispanic Heritage Month by celebrating our country's rich diversity and standing up to bigotry and intolerance. -H
realDonaldTrump,"I will be going to church in Iowa this morning with my wife, Melania. After church I will be making two speeches and touring the State!"
realDonaldTrump,Great job by  <mention> EricTrump on interview with  <mention> BillHemmer on  <mention> FoxNews. <hashtag>ImWithYou <hashtag>TrumpTrain
HillaryClinton,"I am not able to attend this year’s Democratic convention, but I will be voting for Hillary Clinton. (1/3)"
HillaryClinton,"""I’m here without my mother while too many politicians cower behind the gun lobby.” —Erica Smegielski <hashtag>StopGunViolence"
realDonaldTrump,"ISIS is making big threats today - no respect for U.S.A. or our ""leader"" - If I win it will be a very different story,with very fast results"
realDonaldTrump,""" <mention> RichBooth6:  <mention> realDonaldTrump  <mention> CNN good interview Mr. Trump. You set the facts straight."" Thank you."
HillaryClinton,"One positive thing Trump could do to make America great again?

Actually make great things in America: <url>"
realDonaldTrump,"During the GOP convention, CNN cut away from the victims of illegal immigrant violence. They don’t want them heard. <url>"
realDonaldTrump,". <mention> WSJ Editorial says ""Clinton primary vote total is 8,646,551.Trump's is 7,533,692""-a knock. But she had only 3 opponents-I had 16.Apologize"
HillaryClinton,Discrimination against LGBT people is all too common—and goes against everything we stand for as a country. <url>
realDonaldTrump,Bernie Sanders endorsing Crooked Hillary Clinton is like Occupy Wall Street endorsing Goldman Sachs.
HillaryClinton,"This week, Donald Trump made a shockingly ignorant pitch to African American voters. <url>"
realDonaldTrump,""" <mention> wino911:  <hashtag>Trump2016 We know better than to trust the RNC <url>!"
HillaryClinton,Trump Institute taught Donald Trump's real business strategy: cheating innocent Americans out of hard-earned money. <url>
HillaryClinton,Not one living president has said they believe Donald Trump has what it takes to be Commander-in-Chief. <url>
realDonaldTrump,Mathematically it is statistically impossible for Kasich to get to 1237 - he would need 112% of the remaining delegates to be the nominee!
realDonaldTrump,"Wow, great news from Wisconsin. Just made two speeches there with a big one coming tonight. Thank you! <url>"
realDonaldTrump,". <mention> TheView T.V. show, which is failing so badly that it will soon be taken off thr air, is constantly asking me to go on. I TELL THEM ""NO"""
realDonaldTrump,"Tune in &amp; join me live in Albany, New York! 7pmE start time! I love you New York! <hashtag>Trump2016 <hashtag>TrumpTrain
<url>"
realDonaldTrump,. <mention> RinglingBros is retiring their elephants-- the circus will never be the same.
HillaryClinton,"“Way too many dreams die in the parking lots of banks. In America, if you can dream it, you should be able to do it.” —Hillary"
realDonaldTrump,"Crooked Hillary Clinton, who called BREXIT 100% wrong (along with Obama), is now spending Wall Street money on an ad on my correct call."
realDonaldTrump,"Thank you Denver, Colorado!
<hashtag>MakeAmericaGreatAgain! <url>"
realDonaldTrump,"WOW! Thank you Massachusetts! See you soon. <hashtag>VoteTrumpMA
<url>"
realDonaldTrump,"""Hillary Clinton may be the most corrupt person ever to seek the presidency.""  --   Donald J. Trump"
realDonaldTrump,Bill Clinton's meeting was a total secret. Nobody was to know about it but he was caught by a local reporter.
HillaryClinton,“I’m the only candidate in this race who’s been part of the hard decisions to take terrorists off the battlefield. —Hillary
HillaryClinton,"""If fighting for affordable child care and paid family leave is playing the woman card, then deal me in!” —Hillary <url>"
realDonaldTrump,"Cruz says I supported TARP, which gave $25 million to Goldman Sachs, the bank which loaned him the money he didn't disclose. Puppet!"
realDonaldTrump,"On my way to Iowa- just received new national poll numbers. Thank you!
<hashtag>MakeAmericaGreatAgain <hashtag>Trump2016 <url>"
realDonaldTrump,I'm protesting the  <mention> UnionLeader from having anything to do w/ ABC debate. Their unethical record doesn't give them the right to be involved!
HillaryClinton,You don't need to see who's on Trump's list to know what his Supreme Court would look like. <url>
HillaryClinton,"Inflammatory anti-Muslim rhetoric hurts the vast majority of Muslims who love freedom and hate terror. It’s wrong, and it's dangerous."
HillaryClinton,The U.S. has 5% of the world's women but nearly 30% of its women prisoners. The consequences are devastating. <url>
realDonaldTrump,UL has lost all credibility under Joe McQuaid w circulation dropping to record lows. They aren't worthy of representing the great people NH.
HillaryClinton,Thank you to the Orlando Health and Florida Hospital for showing empathy and kindness in the face of hate. -H <url>
HillaryClinton,. <mention> TheEconomist ranked a Donald Trump presidency as the third greatest threat to the global economy. <hashtag>RNCinCLE <url>
HillaryClinton,"""I want to be sure that it is Hillary Clinton who takes the oath of office, not Donald Trump."" —  <mention> JerryBrownGov: <url>"
realDonaldTrump,"Loved the debate last night, and almost everyone said I won, but the RNC did a terrible job of ticket distrbution. All donors &amp; special ints"
realDonaldTrump,"If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Gennifer Flowers right alongside of him!"
realDonaldTrump,""" <mention> ghfanlovessonny:  <mention> realDonaldTrump you have my vote in Pennsylvania. Trump 2016"" Thank you!"
realDonaldTrump,Trump University has a 98% approval rating. I could have settled but won't out of principle!
realDonaldTrump,Just got back from Colorado. The love and enthusiasm at two rallies was incredible. Big crowds!
realDonaldTrump,I am the only candidate (in many years) who is self-funding his campaign. Lobbyists and $ interests totally control all other candidates!
realDonaldTrump,I will be interviewed on  <mention> seanhannity tonight at 10pmE on  <mention> FoxNews. Enjoy!
realDonaldTrump,Lyin' Ted Cruz is now trying to convince prople that his problems with The National Enq.were caused by me. I had NOTHING to do with story!
realDonaldTrump,""" <mention> JoeNBC: Cokie Roberts says Donald Trump had a really good night."""
HillaryClinton,17 Gold Star families write to Trump: “Ours is a sacrifice you will never know.” (via  <mention> votevets) <url>
HillaryClinton,"Very big of you,  <mention> MarcoRubio. <hashtag>RNCinCLE <url>"
realDonaldTrump,""" <mention> piersmorgan: Trump won that debate. People can huff &amp; puff all they like but he was the best candidate on the night. <hashtag>GOPDebate"
realDonaldTrump,. <mention> HillaryClinton - Obama <hashtag>ISIS Strategy Has Allowed It To Expand To Become A Global Threat <hashtag>DebateNight <url>
realDonaldTrump,. <mention> BenSasse looks more like a gym rat than a U.S. Senator. How the hell did he ever get elected?   <mention> greta
HillaryClinton,"We've made our union more perfect because people refused to be kept on the sidelines. Onward. <hashtag>WomensEqualityDay
<url>"
realDonaldTrump,Goofy Elizabeth Warren and her phony Native American heritage are on a Twitter rant. She is too easy! I'm driving her nuts.
HillaryClinton,"""It is a correct tweet."" —Donald Trump, just now <hashtag>NBCNewsForum  <url>"
HillaryClinton,"<hashtag>DemPlatform reflects issues Hillary champions, like raising wages, immigration &amp; criminal justice reform &amp; protecting reproductive rights."
realDonaldTrump,"Now that African-Americans are seeing what a bad job Hillary type policy and management has done to the inner-cities, they want TRUMP!"
realDonaldTrump,""" <mention> Tytan01: Dear  <mention> CNN, after doing a quick Google &amp; Twitter search there are over 15,000 women's groups supporting DonaldTrump. Stop Lying."""
HillaryClinton,"“I don’t know about you, but we’re fired up and ready to go!” —Hillary <url>"
HillaryClinton,This choice couldn't be starker. <url>
HillaryClinton,"We’re stronger together. When we embrace immigrants, not denigrate them. When we build bridges, not walls."
realDonaldTrump,I am in Iowa. Will be making two speeches today. Good luck to all of the great folks on the East coast. Enjoy the beauty of the storm!
HillaryClinton,Live from Orlando: Watch Hillary share her plan for building an inclusive economy that helps everyone get ahead → <url>
HillaryClinton,“Donald Trump is temperamentally unfit to be president and Commander-in-Chief.” —Hillary
HillaryClinton,Our teachers deserve more than just a pat on the back. They deserve a raise. <hashtag>TeacherAppreciationDay <url>
realDonaldTrump,I was at  <mention> FoxNews and met Juan Williams in passing.  He asked if he could have pictures taken with me. I said fine. He then trashes on air!
HillaryClinton,"Whether you have student debt or you're preparing for school, see how much our college plan could save you. <url>"
realDonaldTrump,"I will beat Hillary easily, but Lindsey Graham says I won't, and yet he got zero against me- no cred! Why does FOX put him on?"
HillaryClinton,"In a democracy, if you want to help the greatest number of people, you have to push for reform from both the outside-in and the inside-out."
HillaryClinton,"A couple of New Yorkers heading to the polls. <hashtag>PrimaryDay
<url>"
realDonaldTrump,Great day in D.C. with  <mention> SpeakerRyan and Republican leadership. Things working out really well! <hashtag>Trump2016 <url>
realDonaldTrump,"Thank you South Carolina! Together, WE WILL MAKE AMERICA GREAT AGAIN! <hashtag>VoteTrumpSC <url>"
realDonaldTrump,Democrat Fire Marshal Turns THOUSANDS of Trump Supporters Away at Columbus Rally <url>
HillaryClinton,Every American willing to work hard should be able to find a job that pays enough to support a family.
realDonaldTrump,"Wow, you are all correct about  <mention> FoxNews - totally biased and disgusting reporting."
HillaryClinton,"$7.25 an hour is a starvation wage. So sorry Donald, if you’re watching, we’re not cutting the minimum wage, we’re raising the minimum wage."
HillaryClinton,"15. To what extent are you and your family currently contractually tied to payments from foreign business partners, or governments?"
HillaryClinton,"2,016 and counting: We're reading thousands of lawsuits involving  <mention> realDonaldTrump live on Facebook. <url>"
HillaryClinton,"""Hillary Clinton is that woman in the arena.

She’s been there for us, even if we haven’t always noticed."" — <mention> POTUS"
realDonaldTrump,"Crooked Hillary has been fighting ISIS, or whatever she has been doing, for years. Now she has new ideas. It is time for change."
realDonaldTrump,"I will end common core. It's a disaster.
<url>
<hashtag>MakeAmericaGreatAgain <hashtag>Trump2016 <url>"
HillaryClinton,"Just like he shouldn’t have his finger on the nuclear button, Trump shouldn’t have his hands on our economy. <url>"
realDonaldTrump,"For the great people of Iowa, find your <hashtag>IACaucus location at <url>"
HillaryClinton,"Congratulations on your Emmy, Kate! Big fan of yours, too. <url>"
realDonaldTrump,"Celebrating 1237! <hashtag>Trump2016
<url>"
realDonaldTrump,"Please explain to the dummies at the  <mention> WSJ  Editorial Board that I love to debate and have won, according to Drudge etc., all 11 of them!"
realDonaldTrump,""" <mention> TeaPartyNevada: <hashtag>Trump2016 ""Illegals are taken care of better than our veterans.""  <url>"""
HillaryClinton,"""For those of you out there who are just getting to know  <mention> TimKaine...he'll make the whole country proud as our vice president."" —Hillary"
HillaryClinton,"What you need to know about the ""alt-right"" and  <mention> realDonaldTrump's connections to white supremacy and hate groups: <url>"
HillaryClinton,The disastrous Mexico wall trip: a case study in the Trump school of diplomacy. <url>
realDonaldTrump,"Thank you for the endorsement, Coach Bobby Knight! I will never forget it!
<url>"
realDonaldTrump,"Wow, Kasich didn't qualify to run in the state of Pennsylvania, not enough signatures. Big problem!"
HillaryClinton,"It's still legal to pay disabled workers less than the minimum wage and Clinton announces her plan to end that:
<url>"
HillaryClinton,"The 2008 crash caused millions of Americans to lose their jobs and homes.

In 2006, Trump rooted for it to happen. <url>"
realDonaldTrump,""" <mention> Lucky5713  <mention> NewDay What's wrong with showing Morocco? Nothing! It illustrates a Point! Duh! Love the video!"""
HillaryClinton,"In times of crisis, America depends on steady leadership, clear thinking, and calm judgment. <url>"
